exception_id,rule,severity,estimated_exposure_inr,reason,source_refs,status
EX-001,JE-03 post-close/backdated,HIGH,4900000,Voucher JRN-90001 posted to 2025-03-31 but created 2025-04-04 22:15 (after close 2025-03-31) by ADMIN-1 [privileged user].,general_ledger.csv:2964 general_ledger.csv:2965,New
EX-004,JE-09 quick reversal,HIGH,4900000,"Voucher JRN-90002 reverses JRN-90001 after 11 days; original posted 2025-03-31 by ADMIN-1, reversal by ADMIN-1. Reversal crosses the reporting date.",general_ledger.csv:2964 general_ledger.csv:2965 general_ledger.csv:2966 general_ledger.csv:2967,New
EX-002,JE-03 post-close/backdated,HIGH,830000,Voucher JRN-90003 posted to 2025-03-30 but created 2025-04-02 20:05 (after close 2025-03-31) by ADMIN-1 [privileged user].,general_ledger.csv:2968 general_ledger.csv:2969,New
EX-003,JE-03 post-close/backdated,HIGH,615000,Voucher JRN-90004 posted to 2025-03-28 but created 2025-04-05 19:30 (after close 2025-03-31) by MGR-1 [privileged user].,general_ledger.csv:2970 general_ledger.csv:2971,New
EX-014,VP-03 new vendor activity,HIGH,542800,"Vendor V-044 ""Shri Ram Traders"" created 2025-02-10 by ADMIN-1; Rs 5,42,800 of invoices booked within weeks of creation (SRT/0091).",purchase_register.csv:SRT/0091,New
EX-010,JE-07/JE-10 round/vague manual journal,HIGH,500000,"Manual journal JRN-90012 by ACCT-3 on 2025-01-21: round amount Rs 5,00,000 and vague narration ""adjustment"".",general_ledger.csv:2976 general_ledger.csv:2977,New
EX-016,VP-06 bank change before payment,HIGH,401200,"Bank account of V-006 ""Fortune Chemicals"" changed 2025-01-08 22:42 by ADMIN-1 (after hours); payment PMT-01149 of Rs 4,01,200 released 2025-01-09, 1 day(s) later.",audit_trail.csv:2025-01-08 22:42 general_ledger.csv:3000 general_ledger.csv:3001,New
EX-011,JE-07/JE-10 round/vague manual journal,HIGH,400000,"Manual journal JRN-90013 by ACCT-3 on 2025-03-27: round amount Rs 4,00,000 and vague narration ""adjustment"".",general_ledger.csv:2978 general_ledger.csv:2979,New
EX-009,JE-07/JE-10 round/vague manual journal,HIGH,300000,"Manual journal JRN-90011 by ACCT-3 on 2024-12-09: round amount Rs 3,00,000 and vague narration ""adjustment"".",general_ledger.csv:2974 general_ledger.csv:2975,New
EX-015,VP-04 duplicate invoice,HIGH,221191,"Invoices TT/2287 (2024-10-07) and TT/2287A (2024-10-21) from Trident Tools Ltd have identical value Rs 2,21,191 and matching numeric core — possible double booking.",purchase_register.csv:TT/2287 purchase_register.csv:TT/2287A,New
EX-008,JE-07/JE-10 round/vague manual journal,HIGH,200000,"Manual journal JRN-90010 by ACCT-3 on 2024-11-14: round amount Rs 2,00,000 and vague narration ""adjustment"".",general_ledger.csv:2972 general_ledger.csv:2973,New
EX-012,VP-05 threshold splitting,HIGH,147250,"3 payments to Prakash Machinery within 7 days, each just below the Rs 50,000 approval threshold: PMT-01142 2024-09-16 Rs 49,000; PMT-01143 2024-09-18 Rs 49,500; PMT-01144 2024-09-20 Rs 48,750. Group total exceeds the threshold.",general_ledger.csv:2980 general_ledger.csv:2981 general_ledger.csv:2982 general_ledger.csv:2983 general_ledger.csv:2984 general_ledger.csv:2985,New
EX-013,VP-01/VP-02 duplicate vendor / shared bank,HIGH,0,"Vendors V-014 ""Shree Ram Traders"" (created 2023-05-08 by ADMIN-1) and V-044 ""Shri Ram Traders"" (created 2025-02-10 by ADMIN-1) share bank account XXXXXX401918 / KKBK0006789.",vendor_master.csv:V-014 vendor_master.csv:V-044,New
EX-005,JE-07/JE-10 round/vague manual journal,MEDIUM,4900000,"Manual journal JRN-90001 by ADMIN-1 on 2025-03-31: round amount Rs 49,00,000.",general_ledger.csv:2964 general_ledger.csv:2965,New
EX-006,JE-07/JE-10 round/vague manual journal,MEDIUM,4900000,"Manual journal JRN-90002 by ADMIN-1 on 2025-04-11: round amount Rs 49,00,000.",general_ledger.csv:2966 general_ledger.csv:2967,New
EX-007,JE-07/JE-10 round/vague manual journal,MEDIUM,830000,"Manual journal JRN-90003 by ADMIN-1 on 2025-03-30: round amount Rs 8,30,000.",general_ledger.csv:2968 general_ledger.csv:2969,New
EX-031,BK-04 bank-only item,MEDIUM,300000,"Bank statement 2025-01-15 ""NEFT CR CONSOLIDATED COLLECTION AGENT"" Rs 3,00,000 (credit) has no matching book entry.",bank_statement.csv:AGG300K,New
